Time, ECG, PPG
1.0,-5142.0,58133.0
1.01,-5142.0,58133.0
1.01,-5142.0,58133.0
1.02,-4741.0,58133.0
1.02,-4741.0,58133.0
1.03,-4741.0,58133.0
1.03,-4741.0,58133.0
1.04,-4737.0,58163.0
1.04,-4737.0,58163.0
1.05,-4737.0,58163.0
1.05,-4737.0,58163.0
1.06,-4746.0,58229.0
1.06,-4746.0,58229.0
1.07,-4746.0,58229.0
1.07,-4746.0,58229.0
1.08,-4524.0,58258.0
1.08,-4524.0,58258.0
1.09,-4524.0,58258.0
1.09,-4524.0,58258.0
1.1,-4327.0,58254.0
1.1,-4327.0,58254.0
1.11,-4327.0,58254.0
1.11,-4327.0,58254.0
1.12,-4223.0,58226.0
1.12,-4223.0,58226.0
1.13,-4223.0,58226.0
1.13,-4223.0,58226.0
1.14,-4003.0,58231.0
1.14,-4003.0,58231.0
1.15,-4003.0,58231.0
1.15,-4003.0,58231.0
1.16,-3820.0,58220.0
1.16,-3820.0,58220.0
1.17,-3820.0,58220.0
1.17,-3820.0,58220.0
1.18,-3799.0,58209.0
1.18,-3799.0,58209.0
1.19,-3799.0,58209.0
1.2,-3799.0,58209.0
1.2,-3802.0,58223.0
1.21,-3802.0,58223.0
1.21,-3802.0,58223.0
1.21,-3802.0,58223.0
1.22,-3822.0,58238.0
1.22,-3822.0,58238.0
1.23,-3822.0,58238.0
1.23,-3822.0,58238.0
1.24,-3614.0,58256.0
1.25,-3614.0,58256.0
1.25,-3614.0,58256.0
1.25,-3614.0,58256.0
1.26,-3499.0,58280.0
1.26,-3499.0,58280.0
1.27,-3499.0,58280.0
1.27,-3499.0,58280.0
1.28,-3241.0,58304.0
1.28,-3241.0,58304.0
1.29,-3241.0,58304.0
1.29,-3241.0,58304.0
1.3,-2813.0,58331.0
1.3,-2813.0,58331.0
1.31,-2813.0,58331.0
1.31,-2813.0,58331.0
1.32,-3673.0,58370.0
1.33,-3673.0,58370.0
1.33,-3673.0,58370.0
1.34,-3673.0,58370.0
1.34,-3297.0,58395.0
1.34,-3297.0,58395.0
1.35,-3297.0,58395.0
1.35,-3297.0,58395.0
1.36,-3069.0,58436.0
1.36,-3069.0,58436.0
1.37,-3069.0,58436.0
1.37,-3069.0,58436.0
1.38,-3036.0,58489.0
1.38,-3036.0,58489.0
1.39,-3036.0,58489.0
1.39,-3036.0,58489.0
1.4,-3036.0,58535.0
1.4,-3036.0,58535.0
1.41,-3036.0,58535.0
1.41,-3036.0,58535.0
1.42,-2992.0,58596.0
1.42,-2992.0,58596.0
1.43,-2992.0,58596.0
1.43,-2992.0,58596.0
1.44,-2821.0,58631.0
1.45,-2821.0,58631.0
1.45,-2821.0,58631.0
1.46,-2821.0,58631.0
1.46,-2622.0,58689.0
1.47,-2622.0,58689.0
1.47,-2622.0,58689.0
1.48,-2622.0,58689.0
1.48,-2591.0,58721.0
1.49,-2591.0,58721.0
1.49,-2591.0,58721.0
1.5,-2591.0,58721.0
1.5,-2461.0,58684.0
1.5,-2461.0,58684.0
1.51,-2461.0,58684.0
1.51,-2461.0,58684.0
1.52,-2331.0,58579.0
1.52,-2331.0,58579.0
1.53,-2331.0,58579.0
1.54,-2331.0,58579.0
1.54,-2381.0,58443.0
1.54,-2381.0,58443.0
1.55,-2381.0,58443.0
1.55,-2381.0,58443.0
1.56,-2371.0,58323.0
1.57,-2371.0,58323.0
1.57,-2371.0,58323.0
1.58,-2371.0,58323.0
1.58,-2564.0,58222.0
1.59,-2564.0,58222.0
1.59,-2564.0,58222.0
1.6,-2564.0,58222.0
1.6,-2611.0,58129.0
1.61,-2611.0,58129.0
1.61,-2611.0,58129.0
1.61,-2611.0,58129.0
1.62,-2581.0,58046.0
1.63,-2581.0,58046.0
1.63,-2581.0,58046.0
1.63,-2581.0,58046.0
1.64,-2461.0,57991.0
1.65,-2461.0,57991.0
1.65,-2461.0,57991.0
1.65,-2461.0,57991.0
1.66,-2579.0,57929.0
1.67,-2579.0,57929.0
1.67,-2579.0,57929.0
1.68,-2579.0,57929.0
1.68,-2469.0,57853.0
1.68,-2469.0,57853.0
1.69,-2469.0,57853.0
1.7,-2469.0,57853.0
1.7,-2524.0,57776.0
1.71,-2524.0,57776.0
1.71,-2524.0,57776.0
1.72,-2524.0,57776.0
1.72,-2458.0,57734.0
1.73,-2458.0,57734.0
1.73,-2458.0,57734.0
1.74,-2458.0,57734.0
1.74,-2532.0,57734.0
